scenario,case_id,symbol,signal_date,entry_time_utc,entry_equity,margin,margin_fraction_of_equity,notional,xsec_score,xsec_rank_pct,entry_fee,exit_pnl_after_exit_fee,exit_events,exit_time_utc,total_net_pnl,return_on_allocated_margin
classifier_k5_invvol_tophalf,395-TNSR-2026-06-20,TNSR,2026-06-20,2026-06-21T00:00:00+00:00,0.9170340889125514,0.10915240287659754,0.11902763942617878,0.21830480575319508,-0.061510808096978516,0.4,0.0004366096115063902,0.08043388894011426,2,2026-06-23T23:05:00+00:00,0.07999727932860787,0.7328952658884564
classifier_k5_invvol_tophalf,402-WET-2026-06-23,WET,2026-06-23,2026-06-24T00:00:00+00:00,0.942752003492103,0.12220515562491353,0.12962598347417587,0.24441031124982707,0.00011978539362387567,1.0,0.0004888206224996541,0.018433534816900517,2,2026-07-06T08:40:00+00:00,0.017944714194400864,0.14684089310829812
classifier_k5_invvol_tophalf,404-COOKIE-2026-06-24,COOKIE,2026-06-24,2026-06-25T00:00:00+00:00,0.896989640358358,0.10555616088997474,0.11767823856672838,0.21111232177994949,-0.06876448641083566,0.3333333333333333,0.00042222464355989896,0.0252142817410914,2,2026-06-29T06:20:00+00:00,0.024792057097531503,0.2348707729468602
classifier_k5_invvol_tophalf,403-ID-2026-06-24,ID,2026-06-24,2026-06-25T00:00:00+00:00,0.896989640358358,0.08564624202430199,0.09548186307936098,0.17129248404860398,-0.08108462552386961,0.0,0.000342584968097208,-0.0038007833746414835,2,2026-06-28T00:30:00+00:00,-0.004143368342738691,-0.04837770163415946
classifier_k5_invvol_tophalf,407-POPCAT-2026-06-25,POPCAT,2026-06-25,2026-06-26T00:00:00+00:00,0.9496343654284596,0.08546709288856136,0.09,0.17093418577712272,0.00011978539362387567,1.0,0.00034186837155424543,-0.014350571124625363,1,2026-07-01T00:40:00+00:00,-0.01469243949617961,-0.1719075611397799
classifier_k5_invvol_tophalf,414-SXT-2026-06-27,SXT,2026-06-27,2026-06-28T00:00:00+00:00,0.902045493520606,0.19032750348046673,0.21099545959443225,0.38065500696093346,0.14485417198107603,1.0,0.000761310013921867,-0.009094769300290795,2,2026-07-08T02:20:00+00:00,-0.009856079314212661,-0.05178483999410095
classifier_k5_invvol_tophalf,416-GMT-2026-06-29,GMT,2026-06-29,2026-06-30T00:00:00+00:00,0.9402463212867145,0.22392683963198345,0.23815763440110307,0.4478536792639669,0.19739790013858144,1.0,0.0008957073585279338,-0.010317746291975951,1,2026-07-14T00:00:00+00:00,-0.011213453650503885,-0.05007641633728603
classifier_k5_invvol_tophalf,418-MAGIC-2026-06-29,MAGIC,2026-06-29,2026-06-30T00:00:00+00:00,0.9402463212867145,0.13102021260889563,0.13934668994992314,0.26204042521779125,-0.022967000207482643,0.5,0.0005240808504355825,-0.021696141294468438,1,2026-06-30T21:00:00+00:00,-0.02222022214490402,-0.16959384893713245
classifier_k5_invvol_tophalf,421-EDU-2026-07-01,EDU,2026-07-01,2026-07-02T00:00:00+00:00,0.9201631692544007,0.18788106682332378,0.20418233754733087,0.37576213364664757,0.04906662765740666,0.6666666666666666,0.0007515242672932952,-0.002848623069743633,1,2026-07-16T00:00:00+00:00,-0.003600147337036928,-0.019161842105263165
classifier_k5_invvol_tophalf,422-ZKC-2026-07-01,ZKC,2026-07-01,2026-07-02T00:00:00+00:00,0.9201631692544007,0.10380628676827308,0.11281291214077424,0.20761257353654616,0.06275572822801255,0.8333333333333334,0.00041522514707309233,-0.0011290423785480892,1,2026-07-16T00:00:00+00:00,-0.0015442675256211816,-0.014876435461644555
classifier_k5_invvol_tophalf,439-XNY-2026-07-06,XNY,2026-07-06,2026-07-07T00:00:00+00:00,0.9561754280570341,0.15385653496642235,0.16090827106806294,0.3077130699328447,-0.0020091397409352603,0.5,0.0006154261398656894,-0.025678193552713932,1,2026-07-08T09:55:00+00:00,-0.026293619692579623,-0.1708969963369963
classifier_k5_invvol_tophalf,443-COOKIE-2026-07-08,COOKIE,2026-07-08,2026-07-09T00:00:00+00:00,0.8613006404524827,0.17151143609872102,0.19913074255769486,0.34302287219744204,-0.0019942506445021135,0.3333333333333333,0.0006860457443948841,-0.013050355503421386,1,2026-07-23T00:00:00+00:00,-0.01373640124781627,-0.08009029345372441
classifier_k5_invvol_tophalf,442-JOE-2026-07-08,JOE,2026-07-08,2026-07-09T00:00:00+00:00,0.8613006404524827,0.08804494708493305,0.10222324580959187,0.1760898941698661,-0.0005682254807509309,0.6666666666666666,0.0003521797883397322,-0.0007260898189387348,1,2026-07-23T00:00:00+00:00,-0.001078269607278467,-0.012246808510638417
classifier_k5_invvol_tophalf,453-SKYAI-2026-07-14,SKYAI,2026-07-14,2026-07-15T00:00:00+00:00,0.8737204189569125,0.15218911881252015,0.1741851460839275,0.3043782376250403,0.0405469160445528,0.6666666666666666,0.0006087564752500806,-0.002907044934974348,2,2026-07-17T21:40:00+00:00,-0.003515801410224429,-0.023101529450048924
