case_id,model_version,symbol,group,signal_date,entry_date,entry_price,initial_atr15m,initial_stop,exit_time_utc,weighted_exit_price,exit_events,last_exit_reason,gross_return_1x,net_return_1x,net_return_2x,mae_1x,mfe_until_exit_1x,theoretical_14d_mfe_1x,mfe_capture_ratio,old_net_return_1x,old_net_return_2x,new_minus_old_2x,right_censored_mark,coverage_ratio,decision_count
11-B2-2026-02-04,v2,B2,第二批20币,2026-02-04,2026-02-05,0.7967,0.007999999999999991,0.732964,2026-02-05T23:55:00+00:00,0.7039,1,保护止损,-0.11648048198820138,-0.12000750601220045,-0.2400150120244009,-0.12137567465796417,0.04129534329107565,0.10455629471570238,-1.1140456182472982,-0.1153818884134579,-0.2307637768269158,-0.009251235197485108,False,1.0,1
12-SIREN-2026-02-10,v2,SIREN,样本内,2026-02-10,2026-02-11,0.10077,0.0014849999999999991,0.0927084,2026-02-11T22:05:00+00:00,0.09923000000000001,2,V2弱趋势分层回撤,-0.01528232608911373,-0.019213334767400753,-0.038426669534801505,-0.060732360821673104,0.16264761337699718,2.725116602163342,-0.005607953097119517,0.2271941182634236,0.4543882365268472,-0.4928149060616487,False,1.0,2
13-SAFE-2026-02-05,v2,SAFE,第二批20币,2026-02-05,2026-02-06,0.0968,0.0019499999999999984,0.089056,2026-02-19T08:40:00+00:00,0.106375,2,V2弱趋势分层回撤,0.09891528925619841,0.09452840187393824,0.18905680374787648,-0.08057851239669422,0.30165289256198347,0.30165289256198347,0.3279109589041098,0.16783993995480137,0.33567987990960274,-0.14662307616172626,False,1.0,2
14-CYS-2026-02-13,v2,CYS,新增样本外,2026-02-13,2026-02-14,0.4439,0.0039000000000000068,0.40838800000000003,2026-02-19T09:55:00+00:00,0.47582500000000005,2,V2弱趋势分层回撤,0.07191935120522652,0.06764023203873848,0.13528046407747696,-0.014192385672448848,0.2813696778553727,0.2813696778553727,0.25560448358687005,-0.07399753320572199,-0.14799506641144397,0.28327553048892096,False,1.0,2
15-GWEI-2026-02-13,v2,GWEI,新增样本外,2026-02-13,2026-02-14,0.026382,0.00017271428571428597,0.02427144,2026-02-25T20:45:00+00:00,0.02702325,2,V2弱趋势分层回撤,0.024306345235387772,0.02021729794901897,0.04043459589803794,-0.04901068910620876,0.3569858236676522,0.7702600257751497,0.031556025786132584,0.10583238042147847,0.21166476084295693,-0.171230164944919,False,1.0,2
16-VELVET-2026-02-19,v2,VELVET,样本内,2026-02-19,2026-02-20,0.07825,0.000954285714285714,0.07199,2026-02-25T15:00:00+00:00,0.0855725,2,V2弱趋势分层回撤,0.09357827476038327,0.0892126928252121,0.1784253856504242,-0.007923322683705991,0.2907348242811503,0.3061980830670925,0.30561352253756235,0.013191508357087612,0.026383016714175225,0.15204236893624898,False,1.0,2
17-JCT-2026-02-20,v2,JCT,第二批20币,2026-02-20,2026-02-21,0.001757,1.6000000000000003e-05,0.00161644,2026-02-24T06:00:00+00:00,0.001627,2,保护止损,-0.07398975526465568,-0.07768640294822995,-0.1553728058964599,-0.12350597609561764,0.13375071143995432,0.2851451337507114,-0.2594810379241518,-0.12303679493602444,-0.2460735898720489,0.09070078397558898,False,1.0,2
18-JCT-2026-03-01,v2,JCT,第二批20币,2026-03-01,2026-03-02,0.001498,1.3499999999999964e-05,0.00137816,2026-03-07T00:10:00+00:00,0.001885,4,V2弱趋势分层回撤,0.2583444592790387,0.2533211281042722,0.5066422562085444,-0.012683578104138782,0.5073431241655542,0.6555407209612818,0.39409368635437875,-0.0013324485874713085,-0.002664897174942617,0.5093071533834871,False,1.0,4
19-GUA-2026-02-25,v2,GUA,第二批20币,2026-02-25,2026-02-26,0.23583,0.0030342857142857177,0.2169636,2026-02-27T15:10:00+00:00,0.21685,1,保护止损,-0.08048170292159618,-0.08415243464646016,-0.16830486929292032,-0.09561972607386682,0.0722978416656066,0.26192596361786014,-0.3072689007608878,0.13880164870614947,0.27760329741229894,-0.44590816670521927,False,1.0,1
20-SAFE-2026-02-20,v2,SAFE,第二批20币,2026-02-20,2026-02-21,0.1096,0.0005571428571428562,0.100832,2026-02-23T03:30:00+00:00,0.1009,1,保护止损,-0.07937956204379559,-0.08305469353264283,-0.16610938706528566,-0.08029197080291972,0.03649635036496357,0.03649635036496357,-2.1749999999999954,-0.08305469353264279,-0.16610938706528558,-8.326672684688674e-17,False,1.0,1
